Código;Nome do cargo na Pesquisa;CBOs do Cargo;;;;;;;;;;;;;;;;;;;
258;Administrador;252105;;;;;;;;;;;;;;;;;;;
5;Administrador de Redes;212310;;;;;;;;;;;;;;;;;;;
9;Advogado;"241005; 241040";;;;;;;;;;;;;;;;;;;
433;Agile Coach;"212205; 212405";;;;;;;;;;;;;;;;;;;
203;Almoxarife;414105;;;;;;;;;;;;;;;;;;;
13;Analista Administrativo;"252105; 411010";;;;;;;;;;;;;;;;;;;
476;Analista Business Partner;252405;;;;;;;;;;;;;;;;;;;
19;Analista Comercial;"354125; 411010";;;;;;;;;;;;;;;;;;;
21;Analista Contábil Fiscal;252210;;;;;;;;;;;;;;;;;;;
361;Analista de Assistência Técnica;317210;;;;;;;;;;;;;;;;;;;
25;Analista de Atendimento e Suporte;"212420; 317210";;;;;;;;;;;;;;;;;;;
82;Analista de Banco de Dados;212305;;;;;;;;;;;;;;;;;;;
434;Analista de BI;"142330; 212405; 411010";;;;;;;;;;;;;;;;;;;
896;Analista de Chatbot;212405;;;;;;;;;;;;;;;;;;;
367;Analista de Comércio Exterior;354305;;;;;;;;;;;;;;;;;;;
136;Analista de Compras;"142405; 411010";;;;;;;;;;;;;;;;;;;
23;Analista de Comunicação;"1423-25; 1423-35";;;;;;;;;;;;;;;;;;;
840;Analista de Conteúdo;"142335; 2531-10";;;;;;;;;;;;;;;;;;;
24;Analista de Contratos;411010;;;;;;;;;;;;;;;;;;;
26;Analista de Controladoria;252210;;;;;;;;;;;;;;;;;;;
1017;Analista de Customer Service (CX);"142330; 212405";;;;;;;;;;;;;;;;;;;
435;Analista de Dados;"211205; 261215";;;;;;;;;;;;;;;;;;;
28;Analista de Departamento Pessoal;"252210; 252405; 413105";;;;;;;;;;;;;;;;;;;
11;Analista de Documentação;261210;;;;;;;;;;;;;;;;;;;
829;Analista de E-commerce;"142330; 142355";;;;;;;;;;;;;;;;;;;
366;Analista de Eventos;142335;;;;;;;;;;;;;;;;;;;
368;Analista de Faturamento;"252105; 413115";;;;;;;;;;;;;;;;;;;
1077;Analista de Geoprocessamento;"2513-05; 3123-05; 3123-10";;;;;;;;;;;;;;;;;;;
989;Analista de Gerenciamento de Riscos e Compliance;"1421-25; 1421-30";;;;;;;;;;;;;;;;;;;
1185;Analista de Gestão do Conhecimento;2332-25;;;;;;;;;;;;;;;;;;;
1118;Analista de Governança;1421-30;;;;;;;;;;;;;;;;;;;
900;Analista de Growth Hacking;1423-35;;;;;;;;;;;;;;;;;;;
1021;Analista de Growth Product;142330;;;;;;;;;;;;;;;;;;;
436;Analista de Implantação e Configuração;212420;;;;;;;;;;;;;;;;;;;
15;Analista de Infraestrutura de TI;"212405; 212410; 212420";;;;;;;;;;;;;;;;;;;
437;Analista de Inovação;"212410; 411010";;;;;;;;;;;;;;;;;;;
1076;Analista de Integrações;2124-05;;;;;;;;;;;;;;;;;;;
1007;Analista de Inteligência Artificial;212405;;;;;;;;;;;;;;;;;;;
371;Analista de Inteligência de Mercado;142335;;;;;;;;;;;;;;;;;;;
37;Analista de Logística;"252725; 272515; 272705; 391125";;;;;;;;;;;;;;;;;;;
42;Analista de Marketing;142335;;;;;;;;;;;;;;;;;;;
370;Analista de Marketing Digital;142335;;;;;;;;;;;;;;;;;;;
45;Analista de Mídias Sociais;142335;;;;;;;;;;;;;;;;;;;
46;Analista de Negócios;142330;;;;;;;;;;;;;;;;;;;
306;Analista de Operações;"252105; 411010";;;;;;;;;;;;;;;;;;;
1113;Analista de Parcerias;1423-25;;;;;;;;;;;;;;;;;;;
17;Analista de Pesquisa e Desenvolvimento P&D;"142605; 395105";;;;;;;;;;;;;;;;;;;
190;Analista de Planejamento Financeiro;252545;;;;;;;;;;;;;;;;;;;
372;Analista de PMO;142535;;;;;;;;;;;;;;;;;;;
438;Analista de Pré-vendas (SDR);354125;;;;;;;;;;;;;;;;;;;
898;Analista de Prevenção à Fraude;351805;;;;;;;;;;;;;;;;;;;
1015;Analista de Product Marketing (PMM);142335;;;;;;;;;;;;;;;;;;;
375;Analista de Produto;142335;;;;;;;;;;;;;;;;;;;
18;Analista de Projetos;2521-05;;;;;;;;;;;;;;;;;;;
439;Analista de Prospecção (BDR);354125;;;;;;;;;;;;;;;;;;;
50;Analista de Qualidade e Processos;"261210; 391210";;;;;;;;;;;;;;;;;;;
359;Analista de Recrutamento e Seleção;"252405; 351315";;;;;;;;;;;;;;;;;;;
52;Analista de Recursos Humanos;252405;;;;;;;;;;;;;;;;;;;
376;Analista de Relacionamento;"1423-30; 2521-05; 3541-25; 4110-05";;;;;;;;;;;;;;;;;;;
362;Analista de Remuneração e Benefícios;252405;;;;;;;;;;;;;;;;;;;
796;Analista de Requisitos;212405;;;;;;;;;;;;;;;;;;;
894;Analista de Sales Ops;"3541-20; 3541-25";;;;;;;;;;;;;;;;;;;
889;Analista de Segurança da Informação;"1425-25; 2123-20";;;;;;;;;;;;;;;;;;;
22;Analista de Sistemas;212405;;;;;;;;;;;;;;;;;;;
1009;Analista de SRE;"212205; 212405";;;;;;;;;;;;;;;;;;;
1117;Analista de Sustentabilidade;"214005; 244010";;;;;;;;;;;;;;;;;;;
30;Analista de Tecnologia da Informação;"212305; 212405; 212410; 212420";;;;;;;;;;;;;;;;;;;
29;Analista de Testes (Qualidade em TI);"212405; 212420";;;;;;;;;;;;;;;;;;;
379;Analista de Treinamento e Desenvolvimento;"233225; 252405";;;;;;;;;;;;;;;;;;;
177;Analista Educacional;"239405; 239435";;;;;;;;;;;;;;;;;;;
16;Analista Financeiro;"252105; 252210";;;;;;;;;;;;;;;;;;;
381;Analista Jurídico;"142125; 241040";;;;;;;;;;;;;;;;;;;
133;Arquiteto de Software;212405;;;;;;;;;;;;;;;;;;;
59;Assistente Administrativo;411010;;;;;;;;;;;;;;;;;;;
62;Assistente Comercial;"344125; 411010";;;;;;;;;;;;;;;;;;;
273;Assistente Contábil Fiscal;413110;;;;;;;;;;;;;;;;;;;
835;Assistente de Assistência Técnica;;;;;;;;;;;;;;;;;;;;
319;Assistente de Atendimento e Suporte;"317210; 411010";;;;;;;;;;;;;;;;;;;
489;Assistente de Comércio Exterior;"354305; 411045";;;;;;;;;;;;;;;;;;;
67;Assistente de Compras;411010;;;;;;;;;;;;;;;;;;;
839;Assistente de Conteúdo;;;;;;;;;;;;;;;;;;;;
129;Assistente de Contratos;411010;;;;;;;;;;;;;;;;;;;
1068;Assistente de Customer Experience;142330;;;;;;;;;;;;;;;;;;;
68;Assistente de Departamento Pessoal;411010;;;;;;;;;;;;;;;;;;;
1112;Assistente de Design;"262405; 262410; 264711";;;;;;;;;;;;;;;;;;;
828;Assistente de E-commerce;"3541-25; 4110-10";;;;;;;;;;;;;;;;;;;
990;Assistente de Gerenciamento de Riscos e Compliance;4110-05;;;;;;;;;;;;;;;;;;;
440;Assistente de Implantação e Configuração;"142535; 317110";;;;;;;;;;;;;;;;;;;
69;Assistente de Infraestrutura de TI;"142535; 317210";;;;;;;;;;;;;;;;;;;
1006;Assistente de Inteligência Artificial;212405;;;;;;;;;;;;;;;;;;;
550;Assistente de Inteligência de Mercado;142335;;;;;;;;;;;;;;;;;;;
70;Assistente de Logística;414140;;;;;;;;;;;;;;;;;;;
71;Assistente de Marketing;411010;;;;;;;;;;;;;;;;;;;
577;Assistente de Marketing Digital;411010;;;;;;;;;;;;;;;;;;;
581;Assistente de Negócios;411010;;;;;;;;;;;;;;;;;;;
309;Assistente de Operações;411010;;;;;;;;;;;;;;;;;;;
341;Assistente de Planejamento Financeiro;411010;;;;;;;;;;;;;;;;;;;
441;Assistente de Pré-vendas (SDR);354125;;;;;;;;;;;;;;;;;;;
616;Assistente de Produto;142335;;;;;;;;;;;;;;;;;;;
795;Assistente de Programação;212405;;;;;;;;;;;;;;;;;;;
74;Assistente de Projetos;411010;;;;;;;;;;;;;;;;;;;
292;Assistente de Prospecção (BDR);354125;;;;;;;;;;;;;;;;;;;
75;Assistente de Qualidade e Processos;411010;;;;;;;;;;;;;;;;;;;
634;Assistente de Recrutamento e Seleção;411010;;;;;;;;;;;;;;;;;;;
77;Assistente de Recursos Humanos;411010;;;;;;;;;;;;;;;;;;;
442;Assistente de Relacionamento;"142330; 252105; 354125; 411010";;;;;;;;;;;;;;;;;;;
888;Assistente de Segurança da Informação;"142525; 212320";;;;;;;;;;;;;;;;;;;
31;Assistente de Tecnologia da Informação;"212305; 212405; 212410; 212420";;;;;;;;;;;;;;;;;;;
443;Assistente de Testes (Qualidade em TI);"212405; 212410";;;;;;;;;;;;;;;;;;;
761;Assistente de Treinamento e Desenvolvimento;252405;;;;;;;;;;;;;;;;;;;
79;Assistente Financeiro;"411005; 411010; 413110";;;;;;;;;;;;;;;;;;;
80;Assistente Jurídico;"142125; 241005";;;;;;;;;;;;;;;;;;;
117;Atendente de Recepção;422105;;;;;;;;;;;;;;;;;;;
83;Auxiliar Administrativo;411005;;;;;;;;;;;;;;;;;;;
91;Auxiliar de Serviços Gerais;"514310; 514320";;;;;;;;;;;;;;;;;;;
456;CEO;121010;;;;;;;;;;;;;;;;;;;
444;Cientista de Dados;"203105; 211205";;;;;;;;;;;;;;;;;;;
93;Comprador;354205;;;;;;;;;;;;;;;;;;;
285;Consultor Comercial;354120;;;;;;;;;;;;;;;;;;;
40;Consultor de Atendimento e Suporte;"317210; 420135";;;;;;;;;;;;;;;;;;;
156;Consultor de Implantação e Configuração;212420;;;;;;;;;;;;;;;;;;;
149;Consultor de Negócios;142330;;;;;;;;;;;;;;;;;;;
33;Consultor de TI;212420;;;;;;;;;;;;;;;;;;;
94;Contador;252210;;;;;;;;;;;;;;;;;;;
95;Controller;252210;;;;;;;;;;;;;;;;;;;
39;Coordenador Administrativo;410105;;;;;;;;;;;;;;;;;;;
477;Coordenador Business Partner;142205;;;;;;;;;;;;;;;;;;;
41;Coordenador Comercial;"520105; 520110";;;;;;;;;;;;;;;;;;;
274;Coordenador Contábil Fiscal;252210;;;;;;;;;;;;;;;;;;;
836;Coordenador de Assistência Técnica;"730105; 910105; 910115";;;;;;;;;;;;;;;;;;;
47;Coordenador de Atendimento e Suporte;"317210; 420135";;;;;;;;;;;;;;;;;;;
134;Coordenador de Banco de Dados;212305;;;;;;;;;;;;;;;;;;;
899;Coordenador de BI;142330;;;;;;;;;;;;;;;;;;;
491;Coordenador de Comércio Exterior;"142305; 354305";;;;;;;;;;;;;;;;;;;
137;Coordenador de Compras;"142405; 142410";;;;;;;;;;;;;;;;;;;
841;Coordenador de Conteúdo;;;;;;;;;;;;;;;;;;;;
445;Coordenador de Contratos;"241005; 410105";;;;;;;;;;;;;;;;;;;
123;Coordenador de Controladoria;"142105; 252210; 410105";;;;;;;;;;;;;;;;;;;
1067;Coordenador de Customer Experience;142335;;;;;;;;;;;;;;;;;;;
126;Coordenador de Departamento Pessoal;410105;;;;;;;;;;;;;;;;;;;
73;Coordenador de Desenvolvimento;"142510; 212405";;;;;;;;;;;;;;;;;;;
1073;Coordenador de Designer;"3171-05; 3171-20";;;;;;;;;;;;;;;;;;;
831;Coordenador de E-commerce;"142320; 142330; 142355";;;;;;;;;;;;;;;;;;;
988;Coordenador de Gerenciamento de Riscos e Compliance;"142125; 142130";;;;;;;;;;;;;;;;;;;
1119;Coordenador de Governança;1421-30;;;;;;;;;;;;;;;;;;;
1058;Coordenador de Growth Hacking;"1423-30; 1423-35";;;;;;;;;;;;;;;;;;;
1023;Coordenador de Growth Product;"1423-30; 1423-35";;;;;;;;;;;;;;;;;;;
459;Coordenador de Implantação e Configuração;317110;;;;;;;;;;;;;;;;;;;
132;Coordenador de Infraestrutura de TI;"212405; 212410; 212420";;;;;;;;;;;;;;;;;;;
1008;Coordenador de Inteligência Artificial;212405;;;;;;;;;;;;;;;;;;;
552;Coordenador de Inteligência de Mercado;"142305; 142335";;;;;;;;;;;;;;;;;;;
567;Coordenador de Logística;"141605; 141615; 142410";;;;;;;;;;;;;;;;;;;
56;Coordenador de Marketing;142315;;;;;;;;;;;;;;;;;;;
395;Coordenador de Marketing Digital;142315;;;;;;;;;;;;;;;;;;;
167;Coordenador de Negócios;"1423-05; 1423-20, 4101-05";;;;;;;;;;;;;;;;;;;
295;Coordenador de Operações;"410240; 4101-05;";;;;;;;;;;;;;;;;;;;
78;Coordenador de Pesquisa e Desenvolvimento P&D;142605;;;;;;;;;;;;;;;;;;;
597;Coordenador de Planejamento Financeiro;252545;;;;;;;;;;;;;;;;;;;
446;Coordenador de PMO;142520;;;;;;;;;;;;;;;;;;;
447;Coordenador de Pré-vendas;"142305; 520110";;;;;;;;;;;;;;;;;;;
302;Coordenador de Prevenção à Fraude;142310;;;;;;;;;;;;;;;;;;;
396;Coordenador de Produção;1412-05;;;;;;;;;;;;;;;;;;;
305;Coordenador de Produto;"142315; 142605";;;;;;;;;;;;;;;;;;;
97;Coordenador de Projetos;"142520; 142605";;;;;;;;;;;;;;;;;;;
303;Coordenador de Prospecção;"142305; 410105; 520111";;;;;;;;;;;;;;;;;;;
120;Coordenador de Qualidade e Processos;391210;;;;;;;;;;;;;;;;;;;
636;Coordenador de Recrutamento e Seleção;142205;;;;;;;;;;;;;;;;;;;
121;Coordenador de Recursos Humanos;142205;;;;;;;;;;;;;;;;;;;
448;Coordenador de Relacionamento;"410105; 420135";;;;;;;;;;;;;;;;;;;
1078;Coordenador de Sales Ops;3541-20;;;;;;;;;;;;;;;;;;;
890;Coordenador de Segurança da Informação;;;;;;;;;;;;;;;;;;;;
1011;Coordenador de SRE;212405;;;;;;;;;;;;;;;;;;;
76;Coordenador de Tecnologia da Informação;142605;;;;;;;;;;;;;;;;;;;
397;Coordenador de Testes (Qualidade em TI);"212405; 317110";;;;;;;;;;;;;;;;;;;
763;Coordenador de Treinamento e Desenvolvimento;2524-05;;;;;;;;;;;;;;;;;;;
122;Coordenador Financeiro;"252210; 410235";;;;;;;;;;;;;;;;;;;
131;Coordenador Jurídico;"241005; 241040";;;;;;;;;;;;;;;;;;;
321;Copeiro;"513425; 513505";;;;;;;;;;;;;;;;;;;
1;Desenvolvedor;"212405; 317105; 317110";;;;;;;;;;;;;;;;;;;
842;Desenvolvedor Back-end;"212405; 317105; 317110";;;;;;;;;;;;;;;;;;;
1064;Desenvolvedor de Jogos Digitais;"212405; 317105; 317120";;;;;;;;;;;;;;;;;;;
10;Desenvolvedor Front-end;"212405; 317105; 317110";;;;;;;;;;;;;;;;;;;
843;Desenvolvedor Mobile;"212405; 317105; 317110";;;;;;;;;;;;;;;;;;;
399;Designer;262410;;;;;;;;;;;;;;;;;;;
146;Designer Instrucional;239435;;;;;;;;;;;;;;;;;;;
449;DevOps;212405;;;;;;;;;;;;;;;;;;;
99;Diretor Administrativo;123105;;;;;;;;;;;;;;;;;;;
100;Diretor Comercial;123305;;;;;;;;;;;;;;;;;;;
331;Diretor de Arte;2531-25;;;;;;;;;;;;;;;;;;;
1070;Diretor de Dados;"1236-05; 2123-05";;;;;;;;;;;;;;;;;;;
102;Diretor de Marketing;123310;;;;;;;;;;;;;;;;;;;
153;Diretor de Negócios;"123305; 123705";;;;;;;;;;;;;;;;;;;
198;Diretor de Operações;"122405; 123805";;;;;;;;;;;;;;;;;;;
620;Diretor de Produto;"142315; 142605";;;;;;;;;;;;;;;;;;;
128;Diretor de Projetos;123705;;;;;;;;;;;;;;;;;;;
103;Diretor de Recursos Humanos;123205;;;;;;;;;;;;;;;;;;;
601;Diretor de Relacionamento;123305;;;;;;;;;;;;;;;;;;;
1071;Diretor de Segurança da Informação;1236-05;;;;;;;;;;;;;;;;;;;
402;Diretor de Serviços;123605;;;;;;;;;;;;;;;;;;;
400;Diretor de Tecnologia;"123605; 123705";;;;;;;;;;;;;;;;;;;
125;Diretor Financeiro;123115;;;;;;;;;;;;;;;;;;;
557;Diretor Jurídico;241005;;;;;;;;;;;;;;;;;;;
1014;DPO (Data Protection Officer);1421-35;;;;;;;;;;;;;;;;;;;
1121;Engenheiro de Confiabilidade de Banco de Dados;"2122-05; 2124-10";;;;;;;;;;;;;;;;;;;
404;Engenheiro de Controle e Automação;"202110; 214305";;;;;;;;;;;;;;;;;;;
1005;Engenheiro de Dados;"2032-10; 2124-10";;;;;;;;;;;;;;;;;;;
1114;Engenheiro de Inteligência Artificial;2032-10;;;;;;;;;;;;;;;;;;;
1115;Engenheiro de Segurança da Informação;"2149-20; 2149-25";;;;;;;;;;;;;;;;;;;
145;Engenheiro de Software;"2032-10; 2122-05; 2122-10; 2122-15";;;;;;;;;;;;;;;;;;;
338;Estagiário Administrativo;;;;;;;;;;;;;;;;;;;;
425;Estagiário em TI;;;;;;;;;;;;;;;;;;;;
105;Executivo de Contas;"354120; 354130";;;;;;;;;;;;;;;;;;;
106;Gerente Administrativo;142105;;;;;;;;;;;;;;;;;;;
479;Gerente Business Partner;142205;;;;;;;;;;;;;;;;;;;
107;Gerente Comercial;"142305; 142320";;;;;;;;;;;;;;;;;;;
110;Gerente Contábil Fiscal;252210;;;;;;;;;;;;;;;;;;;
49;Gerente de Atendimento e Suporte;142530;;;;;;;;;;;;;;;;;;;
895;Gerente de Banco de Dados;212305;;;;;;;;;;;;;;;;;;;
1018;Gerente de BI;142330;;;;;;;;;;;;;;;;;;;
450;Gerente de Canais;"142305; 142320";;;;;;;;;;;;;;;;;;;
493;Gerente de Comércio Exterior;142305;;;;;;;;;;;;;;;;;;;
109;Gerente de Compras;"142405; 142410";;;;;;;;;;;;;;;;;;;
326;Gerente de Conteúdo;142310;;;;;;;;;;;;;;;;;;;
353;Gerente de Contratos;"241005; 410105";;;;;;;;;;;;;;;;;;;
111;Gerente de Controladoria;"142105; 252210";;;;;;;;;;;;;;;;;;;
1066;Gerente de Customer Experience;"1421-05; 1423-05";;;;;;;;;;;;;;;;;;;
61;Gerente de Desenvolvimento de TI;142510;;;;;;;;;;;;;;;;;;;
832;Gerente de E-commerce;"142320; 142330; 142355";;;;;;;;;;;;;;;;;;;
1072;Gerente de Entregas;;;;;;;;;;;;;;;;;;;;
987;Gerente de Gerenciamento de Riscos e Compliance;1421-10;;;;;;;;;;;;;;;;;;;
1120;Gerente de Governança;142110;;;;;;;;;;;;;;;;;;;
1059;Gerente de Growth Hacking;142315;;;;;;;;;;;;;;;;;;;
1022;Gerente de Growth Product;142315;;;;;;;;;;;;;;;;;;;
834;Gerente de Implantação e Configuração;142530;;;;;;;;;;;;;;;;;;;
135;Gerente de Infraestrutura de TI;"142505; 142510";;;;;;;;;;;;;;;;;;;
554;Gerente de Inteligência de Mercado;"142305; 142335";;;;;;;;;;;;;;;;;;;
112;Gerente de Marketing;142315;;;;;;;;;;;;;;;;;;;
579;Gerente de Marketing Digital;142315;;;;;;;;;;;;;;;;;;;
451;Gerente de Negócios;"142305; 142320; 142335; 354120";;;;;;;;;;;;;;;;;;;
311;Gerente de Operações;141205;;;;;;;;;;;;;;;;;;;
66;Gerente de Pesquisa e Desenvolvimento P&D;142605;;;;;;;;;;;;;;;;;;;
342;Gerente de Planejamento Financeiro;142605;;;;;;;;;;;;;;;;;;;
152;Gerente de PMO;142520;;;;;;;;;;;;;;;;;;;
455;Gerente de Pré-vendas;142305;;;;;;;;;;;;;;;;;;;
613;Gerente de Produção;141205;;;;;;;;;;;;;;;;;;;
407;Gerente de Produto;"142315; 142605";;;;;;;;;;;;;;;;;;;
1186;Gerente de Produto de Inteligência Artificial;1425-05;;;;;;;;;;;;;;;;;;;
65;Gerente de Projetos;"142520; 142525; 142530";;;;;;;;;;;;;;;;;;;
108;Gerente de Qualidade e Processos;"123105; 142325; 391205";;;;;;;;;;;;;;;;;;;
113;Gerente de Recursos Humanos;"142205; 142215";;;;;;;;;;;;;;;;;;;
408;Gerente de Relacionamento;"1421-05; 1423-05";;;;;;;;;;;;;;;;;;;
1116;Gerente de Relações com Investidores;253205;;;;;;;;;;;;;;;;;;;
891;Gerente de Segurança da Informação;;;;;;;;;;;;;;;;;;;;
63;Gerente de Tecnologia da Informação;"142510; 142530";;;;;;;;;;;;;;;;;;;
452;Gerente de Testes (Qualidade em TI);142510;;;;;;;;;;;;;;;;;;;
765;Gerente de Treinamento e Desenvolvimento;142205;;;;;;;;;;;;;;;;;;;
114;Gerente Financeiro;142115;;;;;;;;;;;;;;;;;;;
148;Gerente Jurídico;"142110; 142125; 241010";;;;;;;;;;;;;;;;;;;
1060;Inside Sales;"521105; 521110; 521120";;;;;;;;;;;;;;;;;;;
1061;Líder de Qualidade e Processos;391205;;;;;;;;;;;;;;;;;;;
1016;Líder Técnico;212405;;;;;;;;;;;;;;;;;;;
824;Operador de telemarketing;"4223-05; 4223-10; 4223-15; 4223-20";;;;;;;;;;;;;;;;;;;
410;Pesquisador;334110;;;;;;;;;;;;;;;;;;;
1080;Product Designer;2624-10;;;;;;;;;;;;;;;;;;;
892;Product Owner;142520;;;;;;;;;;;;;;;;;;;
833;Produtor Audiovisual;"2621-10; 2621-25; 2621-35; 373105; 3744-05";;;;;;;;;;;;;;;;;;;
360;Projetista;"318605; 318610; 318705; 318710; 318805";;;;;;;;;;;;;;;;;;;
84;Redator Técnico;261530;;;;;;;;;;;;;;;;;;;
893;Scrum Master;1425-20;;;;;;;;;;;;;;;;;;;
